Time,px,py,pz,ox,oy,oz,ow,fx,fy,fz
10.973,-0.000,-23.776,7.725,0.586,0.000,0.000,0.805,0.000,0.000,0.000
13.592,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,1.707,3.580,1.682
13.698,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,1.707,3.580,1.682
13.852,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,1.707,3.580,1.682
13.954,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,1.707,3.580,1.682
14.079,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,1.707,3.580,1.682
14.191,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,1.707,3.580,1.682
14.293,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,1.707,3.580,1.682
14.404,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,1.707,3.580,1.682
14.505,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,1.707,3.580,1.682
14.612,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,1.707,3.580,1.682
14.715,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,1.707,3.580,1.682
14.836,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,1.707,3.580,1.682
14.938,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,1.707,3.580,1.682
15.040,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,1.707,3.580,1.682
15.145,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,1.707,3.580,1.682
15.246,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,1.707,3.580,1.682
15.353,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,1.707,3.580,1.682
15.456,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,1.707,3.580,1.682
15.557,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,1.707,3.580,1.682
15.662,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,1.707,3.580,1.682
15.947,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,1.707,3.580,1.682
16.049,-1.640,3.120,1.150,0.344,-0.570,-0.625,0.383,1.707,3.580,1.682
