Time,px,py,pz,ox,oy,oz,ow,fx,fy,fz
43.610,-1.378,-1.184,2.202,0.539,-0.117,-0.180,0.805,-1.013,4.811,0.382
43.816,-1.546,1.577,1.527,0.469,-0.320,-0.461,0.672,1.042,3.797,0.630
43.922,-1.546,1.577,1.527,0.469,-0.320,-0.461,0.672,1.042,3.797,0.630
44.051,-1.615,2.708,1.251,0.391,-0.500,-0.602,0.469,2.428,3.189,0.826
44.152,-1.615,2.708,1.251,0.391,-0.500,-0.602,0.469,2.584,3.097,0.860
44.257,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,3.206,2.577,1.069
44.359,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,3.206,2.577,1.069
44.468,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,3.206,2.577,1.069
44.623,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,3.206,2.577,1.069
44.735,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,3.739,2.384,0.997
44.867,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,10.056,-1.649,-0.047
45.013,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,8.624,-1.331,0.061
45.231,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,2.442,1.125,0.055
45.335,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,2.336,1.170,0.056
45.437,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.787,1.399,0.054
45.538,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
45.640,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
45.744,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
45.846,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
45.947,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
46.054,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
46.155,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
46.401,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
46.512,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
46.622,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
46.725,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
46.833,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
46.935,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
47.042,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
47.143,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
47.245,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
47.347,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
47.553,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
47.654,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
47.756,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
47.859,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
47.961,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
48.062,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
48.164,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
48.267,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
48.369,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
48.471,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
48.697,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
48.799,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
48.901,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
49.002,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
49.105,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
49.207,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
49.308,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
49.410,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
49.513,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
49.615,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
49.814,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
49.916,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
50.017,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
50.120,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
50.223,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
50.329,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
50.431,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
50.533,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
50.635,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
50.736,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
50.925,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
51.027,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
51.129,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
51.231,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
51.332,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
51.435,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
51.537,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
51.639,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
51.742,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
51.843,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
52.054,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
52.155,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
52.278,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
52.380,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
52.486,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
52.598,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
52.700,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
52.802,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
52.908,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
53.185,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
53.287,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
53.407,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
53.509,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
53.611,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
53.713,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
53.815,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
53.917,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
54.020,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
54.123,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
54.316,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
54.418,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
54.519,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
54.628,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
54.729,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
54.830,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
54.941,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
55.045,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
55.162,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
55.348,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
55.450,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
55.551,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
55.653,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
55.761,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
55.869,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
55.971,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
56.082,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
56.184,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
56.288,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
56.473,-1.638,3.091,1.157,0.352,-0.563,-0.625,0.391,1.716,1.429,0.053
